ACTIVE U.S. SKI AREAS - 2024-25,,,,,,,,,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS 
AFFILIATIONS ","ANTICIPATE
OPERATING 
24/25?","OPERATED
23/24?","SURFACE
LIFTS
ONLY?","OPEN TO
PUBLIC?","SKIED 
(Admin 
use
only)"
,Veterans Memorial,220,50,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Waterville Valley,"2,020",265,148,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Whaleback Mountain,700,85,110,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Wildcat,"2,112",225,200,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
U.S. - New Jersey,Big Snow American Dream,118,4,0,Snow Partners,,Yes,Yes,No,Yes,Yes
,Campgaw,274,23,45,Independent,,Yes,Yes,No,Yes,Yes
,Mountain Creek,"1,040",167,65,Snow Partners,,Yes,Yes,No,Yes,Yes
,National Winter Activity Center,620,36,65,Independent,,Yes,Yes,No,No,No
U.S. - New Mexico,Angel Fire Resort,"2,077",560,210,Independent,Powder Alliance,Yes,Yes,No,Yes,No
,Cloudcroft,700,74,120,Independent,,Yes,Yes,No,Yes,No
,Pajarito,"1,440",750,125,Mountain Capital Partners,Power,Yes,Yes,No,Yes,No
,Red River,"1,600",209,214,Independent,Freedom,Yes,Yes,No,Yes,No
,Sandia Peak,"1,700",300,125,Mountain Capital Partners,Power,Yes,Yes,No,Yes,No
,Sipapu,"1,055",205,190,Mountain Capital Partners,Power,Yes,Yes,No,Yes,No
,Ski Apache,"1,900",750,180,Independent,,Yes,Yes,No,Yes,No
,Ski Santa Fe,"1,750",660,225,Independent,,Yes,Yes,No,Yes,No
,Taos Ski Valley,"3,281","1,294",300,Independent,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
U.S. - New York,Beartown,150,32,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Belleayre,"1,404",171,141,New York State,,Yes,Yes,No,Yes,Yes
,Brantling,250,36,100,Independent,,Yes,Yes,Yes,Yes,Yes
,Bristol,"1,200",138,130,Independent,,Yes,Yes,No,Yes,Yes
,Buffalo Ski Center,500,300,N/A,Independent,,Yes,Yes,No,Midweek,No
,Camillus,N/A,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Cazenovia Ski Club,460,25,99,Independent,Indy,Yes,Yes,Yes,No,No
,Chestnut Ridge,55,,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Double H Ranch,N/A,,N/A,Independent,,Yes,Yes,No,No,No
,Dry Hill,300,42,125,Independent,Indy Allied,Yes,Yes,No,Yes,Yes
,Dynamite Hill,65,8,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Emery Park,N/A,,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Four Seasons,130,25,125,Independent,,Yes,Yes,No,Yes,Yes
